,appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,power/W
8,BlackScholes,1680,5800,input00,BlackScholesGPU,1.820231,,,183.27302000000003
9,BlackScholes,1680,6300,input00,BlackScholesGPU,1.686324,,,191.36023
10,BlackScholes,1680,6800,input00,BlackScholesGPU,1.525605,,,194.61506000000008
11,BlackScholes,1680,7300,input00,BlackScholesGPU,1.424838,,,212.56166
4,BlackScholes,1780,5800,input00,BlackScholesGPU,1.827054,,,184.64624999999995
5,BlackScholes,1780,6300,input00,BlackScholesGPU,1.690815,,,184.90592000000004
6,BlackScholes,1780,6800,input00,BlackScholesGPU,1.558915,,,203.5159500000001
7,BlackScholes,1780,7300,input00,BlackScholesGPU,1.455906,,,212.39172
0,BlackScholes,1880,5800,input00,BlackScholesGPU,1.831945,,,185.79910000000007
1,BlackScholes,1880,6300,input00,BlackScholesGPU,1.597454,,,197.31981
2,BlackScholes,1880,6800,input00,BlackScholesGPU,1.544794,,,207.8917
3,BlackScholes,1880,7300,input00,BlackScholesGPU,1.442207,,,217.19846999999996
12,BlackScholes,1980,5800,input00,BlackScholesGPU,1.805661,,,189.44155000000003
13,BlackScholes,1980,6300,input00,BlackScholesGPU,1.694904,,,190.97113000000004
14,BlackScholes,1980,6800,input00,BlackScholesGPU,1.58151,,,202.02467
15,BlackScholes,1980,7300,input00,BlackScholesGPU,1.473634,,,212.16422999999995
16,BlackScholes,2080,5800,input00,BlackScholesGPU,1.837754,,,185.47322
17,BlackScholes,2080,6300,input00,BlackScholesGPU,1.653044,,,198.61282
18,BlackScholes,2080,6800,input00,BlackScholesGPU,1.538487,,,206.32748000000004
19,BlackScholes,2080,7300,input00,BlackScholesGPU,1.383035,,,214.49960000000007
28,SobolQRNG,1680,5800,input00,sobolGPU_kernel,1.838134,,,139.69766
29,SobolQRNG,1680,6300,input00,sobolGPU_kernel,1.819426,,,142.04962
30,SobolQRNG,1680,6800,input00,sobolGPU_kernel,1.758025,,,150.61568
31,SobolQRNG,1680,7300,input00,sobolGPU_kernel,1.601155,,,152.87921999999998
