mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,16,0.2,edf+spt,1,0.1,8098283.318049,7973222.97465,8223343.661447,1443185.0,1329714.043653,1556655.956347,963.0,925.349629,1000.650371,9542431.318049,9342369.140973,9742493.495124
offline,2048,16,0.2,edf+spt,1,0.3,8098283.318049,7973222.97465,8223343.661447,1443185.0,1329714.043653,1556655.956347,963.0,925.349629,1000.650371,9542431.318049,9342369.140973,9742493.495124
offline,2048,16,0.2,edf+spt,1,0.5,8098283.318049,7973222.97465,8223343.661447,1443185.0,1329714.043653,1556655.956347,963.0,925.349629,1000.650371,9542431.318049,9342369.140973,9742493.495124
offline,2048,16,0.2,edf+spt,1,0.7,8093736.131984,7962219.198726,8225253.065242,1496350.3,1412887.77764,1579812.82236,999.0,967.335231,1030.664769,9591085.431984,9400013.238904,9782157.625064
offline,2048,16,0.2,edf+spt,1,1.0,7925030.487875,7795384.677048,8054676.298701,2329249.9,2196732.010308,2461767.789692,1539.0,1490.157052,1587.842948,10255819.387875,10062450.844759,10449187.93099
offline,2048,2,0.2,edf+spt,1,0.1,8099350.771028,7971702.465189,8226999.076868,385873.0,363122.261201,408623.738799,6912.0,6768.450906,7055.549094,8492135.771028,8358146.913895,8626124.628161
offline,2048,2,0.2,edf+spt,1,0.3,8099350.771028,7971702.465189,8226999.076868,385873.0,363122.261201,408623.738799,6912.0,6768.450906,7055.549094,8492135.771028,8358146.913895,8626124.628161
offline,2048,2,0.2,edf+spt,1,0.5,8099350.771028,7971702.465189,8226999.076868,385873.0,363122.261201,408623.738799,6912.0,6768.450906,7055.549094,8492135.771028,8358146.913895,8626124.628161
offline,2048,2,0.2,edf+spt,1,0.7,8084437.130346,7950153.095288,8218721.165405,366651.5,352175.203918,381127.796082,7119.0,6978.740121,7259.259879,8458207.630346,8319891.443832,8596523.816861
offline,2048,2,0.2,edf+spt,1,1.0,7925030.487875,7795384.677048,8054676.298701,470384.7,451568.669098,489200.730902,9054.0,8871.435706,9236.564294,8404469.187875,8266462.808832,8542475.566918
offline,2048,4,0.2,edf+spt,1,0.1,8102712.941498,7969053.560665,8236372.322332,714488.5,685522.918451,743454.081549,3600.0,3516.844243,3683.155757,8820801.441498,8687285.920611,8954316.962386
offline,2048,4,0.2,edf+spt,1,0.3,8102712.941498,7969053.560665,8236372.322332,714488.5,685522.918451,743454.081549,3600.0,3516.844243,3683.155757,8820801.441498,8687285.920611,8954316.962386
offline,2048,4,0.2,edf+spt,1,0.5,8102712.941498,7969053.560665,8236372.322332,714488.5,685522.918451,743454.081549,3600.0,3516.844243,3683.155757,8820801.441498,8687285.920611,8954316.962386
offline,2048,4,0.2,edf+spt,1,0.7,8086287.397858,7956894.523862,8215680.271854,760435.1,717594.578719,803275.621281,3726.0,3616.942246,3835.057754,8850448.497858,8699591.988973,9001305.006743
offline,2048,4,0.2,edf+spt,1,1.0,7925030.487875,7795384.677048,8054676.298701,1012523.5,957599.587234,1067447.412766,5004.0,4815.84,5192.16,8942557.987875,8778324.416682,9106791.559067
offline,2048,8,0.2,edf+spt,1,0.1,8099028.575439,7967329.729445,8230727.421433,1091192.9,1008951.532228,1173434.267772,1863.0,1803.906731,1922.093269,9192084.475439,9002115.741882,9382053.208996
offline,2048,8,0.2,edf+spt,1,0.3,8099028.575439,7967329.729445,8230727.421433,1091192.9,1008951.532228,1173434.267772,1863.0,1803.906731,1922.093269,9192084.475439,9002115.741882,9382053.208996
offline,2048,8,0.2,edf+spt,1,0.5,8099028.575439,7967329.729445,8230727.421433,1091192.9,1008951.532228,1173434.267772,1863.0,1803.906731,1922.093269,9192084.475439,9002115.741882,9382053.208996
offline,2048,8,0.2,edf+spt,1,0.7,8092996.243451,7959296.130546,8226696.356356,1130272.3,1081036.283428,1179508.316572,1917.0,1864.08,1969.92,9225185.543451,9079207.633343,9371163.453559
offline,2048,8,0.2,edf+spt,1,1.0,7925030.487875,7795384.677048,8054676.298701,1678375.5,1581384.814905,1775366.185095,2817.0,2725.717853,2908.282147,9606222.987875,9460833.519976,9751612.455774
offline,2048,16,0.4,edf+spt,1,0.1,16168406.887861,15946901.157342,16389912.61838,2858042.8,2786523.251304,2929562.348696,1899.0,1867.335231,1930.664769,19028348.687861,18768045.949818,19288651.425904
offline,2048,16,0.4,edf+spt,1,0.3,16168406.887861,15946901.157342,16389912.61838,2858042.8,2786523.251304,2929562.348696,1899.0,1867.335231,1930.664769,19028348.687861,18768045.949818,19288651.425904
offline,2048,16,0.4,edf+spt,1,0.5,16168406.887861,15946901.157342,16389912.61838,2858042.8,2786523.251304,2929562.348696,1899.0,1867.335231,1930.664769,19028348.687861,18768045.949818,19288651.425904
offline,2048,16,0.4,edf+spt,1,0.7,16132410.100896,15930056.578464,16334763.623327,3035217.3,2933454.416707,3136980.183293,1980.0,1942.811615,2017.188385,19169607.400896,18906339.756927,19432875.044864
offline,2048,16,0.4,edf+spt,1,1.0,15835757.442813,15640381.141923,16031133.743703,4503258.9,4359026.952455,4647490.847545,2979.0,2917.610998,3040.389002,20341995.342813,20074480.202338,20609510.483288
offline,2048,2,0.4,edf+spt,1,0.1,16234789.661136,16031811.310105,16437768.012166,724774.5,700389.373371,749159.626629,13743.0,13486.629303,13999.370697,16973307.161136,16756968.281041,17189646.04123
offline,2048,2,0.4,edf+spt,1,0.3,16234789.661136,16031811.310105,16437768.012166,724774.5,700389.373371,749159.626629,13743.0,13486.629303,13999.370697,16973307.161136,16756968.281041,17189646.04123
