mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
online,2048,16,1.6,edf+spt,1,0.85,67953905.350933,67416362.487939,68491448.213927,70221985.0,68770741.503857,71673228.496143,11820.0,11640.363033,11999.636967,138187710.350933,136645325.613236,139730095.08863
online,2048,16,1.6,edf+spt,1,0.8,67978062.140653,67443640.456111,68512483.825195,63028528.5,61821125.036213,64235931.963787,10600.0,10498.786035,10701.213965,131017190.640653,129826860.626991,132207520.654314
online,2048,16,1.6,edf+spt,1,0.95,67888870.065443,67353626.16063,68424113.970256,119874905.0,116253583.005259,123496226.994741,26040.0,24858.495844,27221.504156,187789815.065443,184156280.475426,191423349.65546
online,2048,16,1.6,edf+spt,1,0.9,67923857.244768,67387633.048933,68460081.440603,85697025.5,82363261.181358,89030789.818642,15760.0,15373.261984,16146.738016,153636642.744768,150226652.627736,157046632.8618
online,2048,16,1.6,edf+spt,1,1.0,67858242.332403,67322391.205522,68394093.459284,115578240.0,108978495.594001,122177984.405999,43580.0,42173.344354,44986.655646,183480062.332403,176681414.73481,190278709.929996
online,2048,1,1.6,edf+spt,1,0.85,68044801.595369,67503744.825103,68585858.365635,199180.5,196516.282907,201844.717093,174600.0,173060.571419,176139.428581,68418582.095369,67878457.230114,68958706.960625
online,2048,1,1.6,edf+spt,1,0.8,68141967.048832,67595959.059944,68687975.037719,193936.0,190860.716625,197011.283375,170680.0,169154.833949,172205.166051,68506583.048832,67961735.233284,69051430.864379
online,2048,1,1.6,edf+spt,1,0.95,67889574.053322,67353785.157837,68425362.948807,219929.0,216866.781016,222991.218984,189540.0,187758.854681,191321.145319,68299043.053322,67764972.533738,68833113.572906
online,2048,1,1.6,edf+spt,1,0.9,67948759.373426,67411479.572111,68486039.174741,208411.5,205411.933944,211411.066056,180640.0,178837.178784,182442.821216,68337810.873426,67801334.412215,68874287.334637
online,2048,1,1.6,edf+spt,1,1.0,67858242.332403,67322391.205522,68394093.459284,237235.0,233586.836158,240883.163842,202080.0,200128.555562,204031.444438,68297557.332403,67763440.674424,68831673.990382
online,2048,2,1.6,edf+spt,1,0.85,67989434.044978,67450852.142107,68528015.947849,4607408.0,4478006.751454,4736809.248546,85540.0,84819.435234,86260.564766,72682382.044978,72096953.448573,73267810.641383
online,2048,2,1.6,edf+spt,1,0.8,68051683.794282,67513591.398773,68589776.189792,4471578.0,4304427.440019,4638728.559981,83640.0,82892.111666,84387.888334,72606901.794282,72065692.426248,73148111.162317
online,2048,2,1.6,edf+spt,1,0.95,67888788.470248,67354017.417582,68423559.522913,5420722.0,5321903.930014,5519540.069986,97120.0,95988.091751,98251.908249,73406630.470248,72804533.420448,74008727.520047
online,2048,2,1.6,edf+spt,1,0.9,67929563.380965,67393485.335218,68465641.426711,4740263.0,4586100.4706,4894425.5294,89560.0,88656.980827,90463.019173,72759386.380965,72135328.096828,73383444.665101
online,2048,2,1.6,edf+spt,1,1.0,67858242.332403,67322391.205522,68394093.459284,6551545.0,6360012.831001,6743077.168999,112680.0,111554.141544,113805.858456,74522467.332403,73908650.868036,75136283.79677
online,2048,4,1.6,edf+spt,1,0.85,67962092.887645,67424973.551167,68499212.224122,21225256.5,20601694.811625,21848818.188375,42540.0,42284.948842,42795.051158,89229889.387645,88134346.597676,90325432.177614
online,2048,4,1.6,edf+spt,1,0.8,67995033.357207,67460454.10626,68529612.608153,20375724.0,19783210.017935,20968237.982065,41080.0,40875.892142,41284.107858,88411837.357207,87519817.745546,89303856.968868
online,2048,4,1.6,edf+spt,1,0.95,67889094.859821,67353829.94128,68424359.778363,26522567.0,25773512.710825,27271621.289175,55580.0,54415.013049,56744.986951,94467241.859821,93442930.435477,95491553.284165
online,2048,4,1.6,edf+spt,1,0.9,67923894.088012,67387689.501901,68460098.674124,23059497.0,22670344.146085,23448649.853915,46340.0,45868.693466,46811.306534,91029731.088012,90383832.376058,91675629.799966
online,2048,4,1.6,edf+spt,1,1.0,67858242.332403,67322391.205522,68394093.459284,32511378.0,31777303.521375,33245452.478625,72980.0,71675.360239,74284.639761,100442600.332403,99348495.571729,101536705.093077
online,2048,8,1.6,edf+spt,1,0.85,67959541.699752,67422813.515987,68496269.883517,48761601.5,47744457.478093,49778745.521907,22060.0,21874.748027,22245.251973,116743203.199752,115627819.217478,117858587.182026
online,2048,8,1.6,edf+spt,1,0.8,67986200.929288,67452058.238167,68520343.620409,45926197.0,44515495.269221,47336898.730779,20800.0,20669.333333,20930.666667,113933197.929288,112228961.746351,115637434.112226
online,2048,8,1.6,edf+spt,1,0.95,67888866.185858,67353626.893336,68424105.478379,66782868.0,65811202.59976,67754533.40024,35860.0,34672.370099,37047.629901,134707594.185858,133698970.370045,135716218.00167
online,2048,8,1.6,edf+spt,1,0.9,67924094.746726,67387734.324927,68460455.168526,54131629.5,52344749.781707,55918509.218293,25900.0,25538.593857,26261.406143,122081624.246726,120192636.417301,123970612.076152
