mode,gpus,gpus_per_node,util,algo,dvfs_on,theta,aver_run_E,min_run_E,max_run_E,aver_idle_E,min_idle_E,max_idle_E,aver_turnon_E,min_turnon_E,max_turnon_E,aver_total_E,min_total_E,max_total_E
offline,2048,16,0.2,edf+bf,0,1.0,16923498.87,15682029.0,18172050.0,2961868.35,2126870.0,4004690.0,1672.0,1600.0,1800.0,19887039.22,18415219.0,21623623.0
offline,2048,16,0.2,edf+spt,0,1.0,16923498.87,15682029.0,18172050.0,1903149.15,1539095.0,2405075.0,2098.0,1800.0,2400.0,18828746.02,17395589.0,19848456.0
offline,2048,16,0.2,edf+wf,0,1.0,16923498.87,15682029.0,18172050.0,3007006.75,1390685.0,4657575.0,1980.0,1600.0,2400.0,19932485.62,17224229.0,22128042.0
offline,2048,16,0.2,lpt+ff,0,1.0,16923498.87,15682029.0,18172050.0,1571485.95,1135515.0,2085985.0,2758.0,2600.0,3000.0,18497742.82,17132162.0,19835015.0
offline,2048,1,0.2,edf+bf,0,1.0,16923498.87,15682029.0,18172050.0,0.0,0.0,0.0,25196.0,22800.0,28400.0,16948694.87,15705229.0,18197650.0
offline,2048,1,0.2,edf+spt,0,1.0,16923498.87,15682029.0,18172050.0,0.0,0.0,0.0,28746.0,25400.0,32000.0,16952244.87,15709829.0,18200650.0
offline,2048,1,0.2,edf+wf,0,1.0,16923498.87,15682029.0,18172050.0,0.0,0.0,0.0,25408.0,22800.0,28600.0,16948906.87,15705629.0,18198250.0
offline,2048,1,0.2,lpt+ff,0,1.0,16923498.87,15682029.0,18172050.0,0.0,0.0,0.0,42444.0,38600.0,47000.0,16965942.87,15721029.0,18217250.0
offline,2048,2,0.2,edf+bf,0,1.0,16923498.87,15682029.0,18172050.0,722040.15,524790.0,967215.0,12644.0,11400.0,14200.0,17658183.02,16389609.0,18970580.0
offline,2048,2,0.2,edf+spt,0,1.0,16923498.87,15682029.0,18172050.0,552502.55,408425.0,687565.0,14998.0,13400.0,17000.0,17490999.42,16230259.0,18776975.0
offline,2048,2,0.2,edf+wf,0,1.0,16923498.87,15682029.0,18172050.0,801639.25,586160.0,1100750.0,12942.0,11600.0,14800.0,17738080.12,16366519.0,18995168.0
offline,2048,2,0.2,lpt+ff,0,1.0,16923498.87,15682029.0,18172050.0,227156.55,80750.0,364480.0,21266.0,19400.0,23600.0,17171921.42,15971759.0,18449225.0
offline,2048,4,0.2,edf+bf,0,1.0,16923498.87,15682029.0,18172050.0,1463161.95,856970.0,1944205.0,6372.0,5800.0,7200.0,18393032.82,17154249.0,19903603.0
offline,2048,4,0.2,edf+spt,0,1.0,16923498.87,15682029.0,18172050.0,1070523.15,837080.0,1426045.0,7816.0,6800.0,9200.0,18001838.02,16754649.0,19238215.0
offline,2048,4,0.2,edf+wf,0,1.0,16923498.87,15682029.0,18172050.0,1747367.95,1051620.0,2567000.0,6878.0,5800.0,8000.0,18677744.82,17314369.0,20454818.0
offline,2048,4,0.2,lpt+ff,0,1.0,16923498.87,15682029.0,18172050.0,578995.35,297840.0,945540.0,10692.0,9800.0,11800.0,17513186.22,16386582.0,18844155.0
offline,2048,8,0.2,edf+bf,0,1.0,16923498.87,15682029.0,18172050.0,2200315.95,1414910.0,2770490.0,3244.0,3000.0,3600.0,19127058.82,17694922.0,20612703.0
offline,2048,8,0.2,edf+spt,0,1.0,16923498.87,15682029.0,18172050.0,1516201.95,1183370.0,1847220.0,4064.0,3600.0,4800.0,18443764.82,17183389.0,19733560.0
offline,2048,8,0.2,edf+wf,0,1.0,16923498.87,15682029.0,18172050.0,2602787.55,1493365.0,3558780.0,3768.0,3000.0,4400.0,19530054.42,17867447.0,21257920.0
offline,2048,8,0.2,lpt+ff,0,1.0,16923498.87,15682029.0,18172050.0,1033748.75,653480.0,1390600.0,5398.0,5000.0,6000.0,17962645.62,16587562.0,19435255.0
offline,2048,16,0.4,edf+bf,0,1.0,33759788.64,31687380.0,35980551.0,5372756.5,4118675.0,6916450.0,3212.0,3000.0,3400.0,39135757.14,35809055.0,40954642.0
offline,2048,16,0.4,edf+spt,0,1.0,33759788.64,31687380.0,35980551.0,3726041.3,3210875.0,4311965.0,4158.0,3800.0,4600.0,37489987.94,35257895.0,39403536.0
offline,2048,16,0.4,edf+wf,0,1.0,33759788.64,31687380.0,35980551.0,6293041.3,3049885.0,9034140.0,3832.0,3200.0,4400.0,40056661.94,35668615.0,42805802.0
offline,2048,16,0.4,lpt+ff,0,1.0,33759788.64,31687380.0,35980551.0,2886404.5,1943015.0,3498260.0,5280.0,4800.0,5800.0,36651473.14,34868975.0,38750576.0
offline,2048,1,0.4,edf+bf,0,1.0,33759788.64,31687380.0,35980551.0,0.0,0.0,0.0,49798.0,45600.0,53800.0,33809586.64,31734780.0,36029951.0
offline,2048,1,0.4,edf+spt,0,1.0,33759788.64,31687380.0,35980551.0,0.0,0.0,0.0,57314.0,53000.0,60800.0,33817102.64,31741580.0,36036351.0
offline,2048,1,0.4,edf+wf,0,1.0,33759788.64,31687380.0,35980551.0,0.0,0.0,0.0,49846.0,46200.0,54800.0,33809634.64,31734380.0,36029151.0
offline,2048,1,0.4,lpt+ff,0,1.0,33759788.64,31687380.0,35980551.0,0.0,0.0,0.0,83090.0,75800.0,90800.0,33842878.64,31771980.0,36064351.0
offline,2048,2,0.4,edf+bf,0,1.0,33759788.64,31687380.0,35980551.0,1373875.4,1038275.0,1728220.0,24942.0,22800.0,27000.0,35158606.04,32820685.0,37112136.0
offline,2048,2,0.4,edf+spt,0,1.0,33759788.64,31687380.0,35980551.0,1102332.7,919870.0,1306875.0,29852.0,27600.0,31400.0,34891973.34,32685685.0,37062426.0
offline,2048,2,0.4,edf+wf,0,1.0,33759788.64,31687380.0,35980551.0,1565769.7,1029435.0,2166990.0,25028.0,22200.0,27400.0,35350586.34,32740615.0,37393286.0
